,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
I1,-0.589972127191844,0.3096925286959648,-0.3675302898584809,-0.46696998083162206,-0.08774648260911903,0.18433349734369664,0.250635206131001,-0.03721167292138085,0.14366428667435038,0.2686745943028226,0.06352878780206497,0.0118987171190364
I2a,0.09149993922879067,-0.5409079706162745,0.6207803820697533,-0.3611395925753742,-0.13351105733177615,-0.27267204629072234,0.2558588242086883,0.14334012217506806,0.050428666793187145,-0.03478872178690874,-0.031317050695878736,0.0183521466185804
I2b,-0.3042274686064264,0.6348383816234102,-0.15188691665828796,-0.5111250303563225,-0.27791503536259055,-0.02372123578686438,-0.023951346620712008,-0.008737570883554192,-0.14669890938913566,-0.34176521025470813,-0.0576806778692995,0.002622754425347966
R1a,-0.47055638251284243,-0.6260033868176825,-0.27933844380737144,-0.16925711310725264,-0.16735451543428012,-0.18711284470398706,-0.45943514058898055,-0.03105044644194427,0.05153819146445016,0.030283593344022332,0.032216295745666215,0.01854222221161148
R1b,0.02010088529151844,0.8459866260696545,0.2642270303581866,0.43413732520477505,0.009424544029411976,-0.018841513423279894,-0.10181628028701467,0.01661497563309151,0.11538161957558606,0.0009140209505645767,0.010811019991006985,0.0330813162597263
G,0.7278326587400528,0.2693575994164267,-0.21438163373216396,-0.04855945680306779,-0.09748163704768978,-0.3743879331063992,0.009872320661561853,0.08764625877707304,-0.3829547782146947,0.20922414020365124,0.0384882614842649,0.005461327474139699
J2,0.8715673141791164,-0.12060606378005888,-0.20939269941840527,-0.1307537290939308,0.05661991709991586,0.14126327877448047,-0.010498685386279346,-0.17265747470594295,0.0646852858489428,0.04228564969087658,-0.32512645949306945,0.011014628707190749
J1,0.7874121661152284,-0.03681623074081822,-0.253126594967792,-0.028130424874742706,0.04876726094178493,-0.28506994514422934,0.12539344521379822,-0.34646017348878344,0.19847904975094918,-0.14447664825869835,0.18462545811563305,0.002640033497326881
E1b1b,0.6637825941171865,-0.21688940234104254,0.24963297158442985,-0.21681663632908668,-0.03842920980858978,0.5695103892672788,-0.09804283731155543,-0.08036748942848936,-0.1811464736578358,-0.01803943593453493,0.16691563561275874,0.011621793043201899
T,0.7282672543163418,-0.021764479754003002,-0.3839868786360004,-0.03776425813141512,-0.0006136145558220903,0.09106189539842642,-0.01584329387048355,0.5126803697447528,0.1962200497692361,-0.08990702642368187,0.04805426265406036,0.0012005269947789575
Q,-0.1934539024986508,0.06895540993100689,-0.013705219452677012,-0.3094722498944824,0.9190066097388653,-0.07657079239705843,-0.04896879006825477,0.04368760229670734,-0.0700207775312762,-0.045063335655031705,0.01152267309591684,0.007117799193236915
N,-0.4462434126596324,-0.5041628829910388,-0.43147441750614757,0.4556208757115429,0.03607233900232769,0.1042178072377255,0.2837034871801698,0.010633485055690313,-0.19564717029827575,-0.14635899071603745,-0.009316135833086337,0.019421233237662615
