,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
I1,0.34806711086326936,0.44397657319337036,0.5790550871568294,0.7971160501547149,0.8048154953649873,0.838794333607946,0.9016123401602754,0.9029970487618831,0.9236364760275331,0.9958225136513194,0.9998584205309191,0.999999999999998
I2a,0.008372238878872385,0.30095367155508884,0.6863219543177577,0.816743759643265,0.8345689620731138,0.9089190069014836,0.9743827448269361,0.9949291354520995,0.9974721858866378,0.9986824410502048,0.999663198714493,1.0000000000000029
I2b,0.09255435265467417,0.49557412343690477,0.5186437588888665,0.7798925555456181,0.8571293224262081,0.8576920194534641,0.8582656864584096,0.8583420316033548,0.8798626016193166,0.9966660605597615,0.9999931211592233,0.999999999999999
R1a,0.22142330912357247,0.6133035494307816,0.6913335156195056,0.7199814859569069,0.7479890197931496,0.783000236446368,0.9940808848543843,0.9950450150786283,0.9977012002580546,0.9986182962838808,0.999656185995453,0.9999999999999978
R1b,0.0004040455895027824,0.7160974170782202,0.7859133406501262,0.9743885577860828,0.9744773798162452,0.9748323824443248,0.9851989373758088,0.985474994791097,0.9987879129269823,0.9987887483612804,0.9989056265145263,1.0000000000000024
G,0.5297403791286142,0.6022938954919943,0.648253380373666,0.650611401218675,0.6601140707801725,0.8002803952358541,0.8003778579510988,0.8080597246287164,0.9547140867861824,0.9984888276301396,0.9999701739022208,1.0000000000000004
J2,0.7596295831453985,0.7741754057659181,0.8180207083356448,0.8351172460076138,0.8383230610200152,0.8582783749501318,0.8583885973449719,0.8881992009168052,0.8923833871221646,0.8941714632919441,0.9998786779544426,0.9999999999999999
J1,0.6200179193462759,0.621373354192237,0.6854464272722257,0.6862377480758592,0.6886159938156234,0.7698808674401574,0.7856043835427432,0.9056390353566212,0.945032968546661,0.9659064704387286,0.9999930302231359,1.0000000000000029
E1b1b,0.44060733225294163,0.48764834510079624,0.549964965602869,0.5969744193919284,0.598451223558441,0.9227933070418085,0.9324057049899086,0.938864638346947,0.971678683265616,0.9720041045144522,0.9998649339264635,1.0000000000000024
T,0.5303731937094632,0.5308468862884257,0.6782928092530442,0.6797189484452604,0.6797193249680835,0.6880115937616375,0.688262603722304,0.9511037652439205,0.989606073175362,0.9976893465757106,0.999998558734936,1.0000000000000013
Q,0.03742441239195749,0.042179260950710694,0.04236709399095673,0.1381401674457097,0.9827133161894327,0.9885764024377461,0.9909743448384949,0.9928829514329301,0.9977858607190147,0.9998165649393727,0.999949336934648,1.0000000000000033
N,0.19913318334211497,0.45331339592795084,0.6394835688902202,0.8470739512743735,0.8483751649154723,0.859236516260912,0.9397241848991008,0.9398372559035304,0.9781150711492529,0.99953602531267,0.9996228156995306,1.0000000000000022
